Fecha,Sesiones,Montos
01/01/2015,160775,22339951.23
02/01/2015,223894,18243827.61
03/01/2015,172628,15765976.38
04/01/2015,170417,12733915.22
05/01/2015,261446,23981375.99
06/01/2015,317348,35581208.43
07/01/2015,320341,31979573.27
08/01/2015,297366,29937865.95
09/01/2015,245487,27954858.46
10/01/2015,170653,16922549.38
11/01/2015,171103,12812822.37
12/01/2015,310826,27361949.5
13/01/2015,324642,30342605.62
14/01/2015,458825,53262886.94
15/01/2015,300886,27232892.17
16/01/2015,275778,24887232.1
17/01/2015,175170,11978499.51
18/01/2015,171255,13567087.07
19/01/2015,294766,26081921.78
20/01/2015,332305,25964521.97
21/01/2015,278266,24067443.91
22/01/2015,255755,24679788.78
23/01/2015,219419,20554019.02
24/01/2015,152417,14246186.93
25/01/2015,155677,12641866.85
26/01/2015,272950,24326766.06
27/01/2015,300694,28508654.79
28/01/2015,311828,19610722.32
29/01/2015,266955,22307197.7
30/01/2015,324927,38268421.09
31/01/2015,182751,22182713.4
01/02/2015,159080,17855116.69
02/02/2015,219783,30235307.95
03/02/2015,310156,24139641.8
04/02/2015,283439,24023484.11
05/02/2015,253866,18429130.28
06/02/2015,240167,21694079.87
07/02/2015,164157,14215885.52
08/02/2015,169250,13923772.43
09/02/2015,275382,24052908.69
10/02/2015,296439,28435829.12
11/02/2015,286509,27904936.55
12/02/2015,266788,30080470.27
13/02/2015,231224,22522285.67
14/02/2015,153213,13343804.97
15/02/2015,164206,14673500.2
16/02/2015,277337,24617508.48
17/02/2015,293591,29178911.81
18/02/2015,290911,26507539.99
19/02/2015,319629,32834388.78
20/02/2015,282507,24172840.75
21/02/2015,174699,14471921.31
22/02/2015,173696,13918163.14
23/02/2015,291611,25196329.33
24/02/2015,305335,32017399.03
25/02/2015,289244,27770581.27
26/02/2015,271597,24236129.83
27/02/2015,315576,25676102.47
28/02/2015,202381,16394851.76
01/03/2015,201556,17357146.74
02/03/2015,330331,34444335.76
03/03/2015,445851,44012200.93
04/03/2015,360832,31585147.26
05/03/2015,336340,34782085.94
06/03/2015,320777,25454342.66
07/03/2015,216664,16941400.22
08/03/2015,225084,16308920.27
09/03/2015,356986,32517382.55
10/03/2015,391103,31447739.59
11/03/2015,674689,50464157.15
12/03/2015,1203544,87125000.61
13/03/2015,792695,78098321.08
14/03/2015,280811,13009879.02
15/03/2015,216340,4187355.71
16/03/2015,276464,11362466.4
17/03/2015,334969,27028131.38
18/03/2015,399961,52567760.62
19/03/2015,307489,24542411.93
20/03/2015,270103,17013039.39
21/03/2015,182304,9074519.21
22/03/2015,192290,11461472.35
23/03/2015,343833,22546544.4
24/03/2015,367730,28888421.56
25/03/2015,396730,31279469.03
26/03/2015,307146,28344402.91
27/03/2015,234487,21725611.09
28/03/2015,169401,14531180.64
29/03/2015,166676,11957245.2
30/03/2015,265918,25132779.26
31/03/2015,276043,35793890.52
01/04/2015,286046,22496565.63
02/04/2015,182125,13558474.06
03/04/2015,144455,9393712.5
04/04/2015,133990,7686446.86
05/04/2015,145465,10383769.64
06/04/2015,263597,24696111.1
07/04/2015,361863,48855918.64
08/04/2015,317888,28419586.44
09/04/2015,257685,25309666.86
10/04/2015,232993,18669104.28
11/04/2015,156995,12558191.62
12/04/2015,155194,11642587.7
13/04/2015,292603,26260391.94
14/04/2015,384096,48644658.85
15/04/2015,362052,34143805.62
16/04/2015,341761,37883247.12
17/04/2015,263174,25327158.11
18/04/2015,169949,16332142.19
19/04/2015,171429,15257686.66
20/04/2015,294107,29219291.96
21/04/2015,314925,31388542.95
22/04/2015,342974,30521853.59
23/04/2015,305921,23533731.18
